distance_m,cache_tiles,world_center_x,traced_current_mb,traced_peak_mb,cache_bytes_est,elapsed_s
5850.0,5870,1169,1.6256,3.7165,1314880,6.54
5900.0,5920,1179,1.6349,3.7259,1326080,6.6
5950.0,5970,1189,1.6442,3.7352,1337280,6.65
6000.0,6020,1199,1.6534,3.7444,1348480,6.7
6050.0,6070,1209,1.6627,3.7537,1359680,6.76
6100.0,6120,1219,1.6719,3.7629,1370880,6.83
6150.0,6170,1229,1.6813,3.7723,1382080,6.89
6200.0,6220,1239,1.6905,3.7814,1393280,6.95
6250.0,6270,1249,1.6998,3.7907,1404480,7.0
6300.0,6320,1259,1.709,3.7999,1415680,7.06
6350.0,6370,1269,1.7182,3.8091,1426880,7.11
6400.0,6420,1279,1.7275,3.8185,1438080,7.17
6450.0,6470,1289,1.7369,3.8278,1449280,7.22
6500.0,6520,1299,1.7462,3.8372,1460480,7.28
6550.0,6570,1309,1.7554,3.8463,1471680,7.34
6600.0,6620,1319,1.7648,3.8557,1482880,7.39
6650.0,6670,1329,1.774,3.8649,1494080,7.45
6700.0,6720,1339,1.7833,3.8742,1505280,7.5
6750.0,6770,1349,1.7924,3.8834,1516480,7.56
6800.0,6820,1359,1.8018,3.8927,1527680,7.62
6850.0,6870,1369,1.811,3.902,1538880,7.67
6900.0,6920,1379,1.8203,3.9112,1550080,7.73
6950.0,6970,1389,1.8294,3.9204,1561280,7.78
7000.0,7020,1399,1.839,3.9299,1572480,7.83
7050.0,7070,1409,1.8481,3.9391,1583680,7.89
7100.0,7120,1419,1.8574,3.9483,1594880,7.94
7150.0,7170,1429,1.8665,3.9574,1606080,8.0
7200.0,7220,1439,1.8757,3.9667,1617280,8.05
7250.0,7270,1449,1.8851,3.976,1628480,8.1
7300.0,7320,1459,1.8944,3.9854,1639680,8.16
7350.0,7370,1469,1.9036,3.9946,1650880,8.21
7400.0,7420,1479,1.9128,4.0038,1662080,8.27
7450.0,7470,1489,1.9224,4.0134,1673280,8.33
7500.0,7520,1499,1.9315,4.0225,1684480,8.39
7550.0,7570,1509,1.9409,4.0318,1695680,8.44
7600.0,7620,1519,1.9502,4.0411,1706880,8.5
7650.0,7670,1529,1.9593,4.0503,1718080,8.56
7700.0,7720,1539,1.9687,4.0596,1729280,8.61
7750.0,7770,1549,1.9778,4.0688,1740480,8.66
7800.0,7820,1559,1.9871,4.0781,1751680,8.72
7850.0,7870,1569,1.9965,4.0874,1762880,8.77
7900.0,7920,1579,2.0058,4.0967,1774080,8.83
7950.0,7970,1589,2.0151,4.106,1785280,8.88
8000.0,8020,1599,2.0241,4.1151,1796480,8.94
8050.0,8070,1609,2.0334,4.1243,1807680,8.99
8100.0,8120,1619,2.0427,4.1337,1818880,9.05
8150.0,8170,1629,2.052,4.143,1830080,9.1
8200.0,8220,1639,2.0613,4.1522,1841280,9.16
8250.0,8270,1649,2.0705,4.1614,1852480,9.22
8300.0,8320,1659,2.0797,4.1706,1863680,9.27
8350.0,8370,1669,2.0891,4.18,1874880,9.33
8400.0,8420,1679,2.0984,4.1893,1886080,9.39
8450.0,8470,1689,2.1076,4.1986,1897280,9.45
8500.0,8520,1699,2.1168,4.2078,1908480,9.5
8550.0,8570,1709,2.126,4.2169,1919680,9.55
8600.0,8620,1719,2.1354,4.2263,1930880,9.61
8650.0,8670,1729,2.1448,4.2357,1942080,9.67
8700.0,8720,1739,2.154,4.245,1953280,9.72
8750.0,8770,1749,2.1633,4.2543,1964480,9.78
8800.0,8820,1759,2.1726,4.2635,1975680,9.83
8850.0,8870,1769,2.1819,4.2729,1986880,9.88
8900.0,8920,1779,2.191,4.282,1998080,9.94
8950.0,8970,1789,2.2003,4.2912,2009280,10.0
9000.0,9020,1799,2.2096,4.3005,2020480,10.05
9050.0,9070,1809,2.2188,4.3098,2031680,10.1
9100.0,9120,1819,2.2281,4.319,2042880,10.15
9150.0,9170,1829,2.2374,4.3283,2054080,10.21
9200.0,9220,1839,2.2467,4.3376,2065280,10.27
9250.0,9270,1849,2.256,4.3469,2076480,10.32
9300.0,9320,1859,2.2652,4.3562,2087680,10.38
9350.0,9370,1869,2.2744,4.3653,2098880,10.43
9400.0,9420,1879,2.2838,4.3747,2110080,10.49
9450.0,9470,1889,2.2929,4.3838,2121280,10.55
9500.0,9520,1899,2.3022,4.3932,2132480,10.6
9550.0,9570,1909,2.3115,4.4024,2143680,10.65
9600.0,9620,1919,2.3207,4.4116,2154880,10.71
9650.0,9670,1929,2.33,4.4209,2166080,10.76
9700.0,9720,1939,2.3392,4.4301,2177280,10.82
9750.0,9770,1949,2.3485,4.4394,2188480,10.88
9800.0,9820,1959,2.3577,4.4487,2199680,10.93
9850.0,9870,1969,2.367,4.4579,2210880,10.99
9900.0,9920,1979,2.3763,4.4673,2222080,11.04
9950.0,9970,1989,2.3856,4.4765,2233280,11.1
10000.0,10020,1999,2.3948,4.4857,2244480,11.15
10050.0,10070,2009,2.4044,4.4953,2255680,11.2
10100.0,10120,2019,2.4136,4.5045,2266880,11.26
10150.0,10170,2029,2.4229,4.5138,2278080,11.31
10200.0,10220,2039,2.4322,4.5231,2289280,11.37
10250.0,10270,2049,2.4414,4.5324,2300480,11.43
10300.0,10320,2059,2.4506,4.5415,2311680,11.48
10350.0,10370,2069,2.4599,4.5508,2322880,11.54
10400.0,10420,2079,2.4692,4.5601,2334080,11.59
10450.0,10470,2089,2.4785,4.5695,2345280,11.65
10500.0,10520,2099,2.4877,4.5787,2356480,11.71
10550.0,10570,2109,2.4969,4.5879,2367680,11.76
10600.0,10620,2119,2.5062,4.5971,2378880,11.81
10650.0,10670,2129,2.5154,4.6063,2390080,11.87
10700.0,10720,2139,2.5248,4.6157,2401280,11.93
10750.0,10770,2149,2.534,4.6249,2412480,11.99
10800.0,10820,2159,2.5432,4.6341,2423680,12.05
10850.0,10870,2169,2.5526,4.6435,2434880,12.1
10900.0,10920,2179,2.5618,4.6527,2446080,12.17
10950.0,10970,2189,2.8659,4.9569,2457280,12.23
11000.0,11020,2199,2.8752,4.9662,2468480,12.28
11050.0,11070,2209,2.8846,4.9755,2479680,12.33
11100.0,11120,2219,2.8937,4.9846,2490880,12.39
11150.0,11170,2229,2.903,4.994,2502080,12.45
11200.0,11220,2239,2.9122,5.0032,2513280,12.51
11250.0,11270,2249,2.9215,5.0125,2524480,12.56
11300.0,11320,2259,2.9308,5.0217,2535680,12.62
11350.0,11370,2269,2.9401,5.031,2546880,12.68
11400.0,11420,2279,2.9493,5.0403,2558080,12.74
11450.0,11470,2289,2.9586,5.0495,2569280,12.8
11500.0,11520,2299,2.9678,5.0588,2580480,12.85
11550.0,11570,2309,2.9771,5.068,2591680,12.9
11600.0,11620,2319,2.9863,5.0772,2602880,12.96
11650.0,11670,2329,2.9959,5.0869,2614080,13.02
11700.0,11720,2339,3.0051,5.096,2625280,13.07
11750.0,11770,2349,3.0144,5.1054,2636480,13.13
11800.0,11820,2359,3.0236,5.1146,2647680,13.19
11850.0,11870,2369,3.0328,5.1237,2658880,13.25
11900.0,11920,2379,3.0422,5.1332,2670080,13.31
11950.0,11970,2389,3.0515,5.1424,2681280,13.37
12000.0,12020,2399,3.0607,5.1517,2692480,13.42
12050.0,12070,2409,2.9618,5.1574,2703680,13.49
12100.0,12120,2419,2.974,5.1574,2714880,13.54
12150.0,12170,2429,2.9884,5.1574,2726080,13.6
12200.0,12220,2439,3.0025,5.1574,2737280,13.66
12250.0,12270,2449,3.0166,5.1574,2748480,13.72
12300.0,12320,2459,3.0297,5.1574,2759680,13.78
12350.0,12370,2469,3.0429,5.1574,2770880,13.83
12400.0,12420,2479,3.0562,5.1574,2782080,13.89
12450.0,12470,2489,3.0692,5.1601,2793280,13.95
12500.0,12520,2499,3.082,5.1729,2804480,14.01
12550.0,12570,2509,3.095,5.1859,2815680,14.06
12600.0,12620,2519,3.1093,5.2001,2826880,14.12
12650.0,12670,2529,3.1228,5.2137,2838080,14.17
12700.0,12720,2539,3.1362,5.2271,2849280,14.23
12750.0,12770,2549,3.15,5.2409,2860480,14.28
12800.0,12820,2559,3.1631,5.254,2871680,14.34
12850.0,12870,2569,3.1758,5.2667,2882880,14.39
12900.0,12920,2579,3.1893,5.2802,2894080,14.45
12950.0,12970,2589,3.2025,5.2934,2905280,14.5
13000.0,13020,2599,3.2164,5.3073,2916480,14.56
13050.0,13070,2609,3.229,5.3198,2927680,14.62
13100.0,13120,2619,3.2428,5.3337,2938880,14.68
13150.0,13170,2629,3.2566,5.3475,2950080,14.74
13200.0,13220,2639,3.2702,5.3611,2961280,14.8
13250.0,13270,2649,3.2844,5.3753,2972480,14.87
13300.0,13320,2659,3.2989,5.3898,2983680,14.93
13350.0,13370,2669,3.3129,5.4038,2994880,14.98
13400.0,13420,2679,3.3255,5.4164,3006080,15.04
13450.0,13470,2689,3.3354,5.4263,3017280,15.1
13500.0,13520,2699,3.3445,5.4354,3028480,15.15
13550.0,13570,2709,3.3541,5.445,3039680,15.21
13600.0,13620,2719,3.3633,5.4542,3050880,15.27
13650.0,13670,2729,3.3727,5.4636,3062080,15.33
13700.0,13720,2739,3.382,5.4729,3073280,15.39
13750.0,13770,2749,3.3913,5.4822,3084480,15.45
13800.0,13820,2759,3.4006,5.4915,3095680,15.51
13850.0,13870,2769,3.41,5.5009,3106880,15.56
13900.0,13920,2779,3.4193,5.5102,3118080,15.62
13950.0,13970,2789,3.4285,5.5194,3129280,15.69
14000.0,14020,2799,3.4378,5.5287,3140480,15.76
14050.0,14070,2809,3.4472,5.5381,3151680,15.82
14100.0,14120,2819,3.4563,5.5472,3162880,15.89
14150.0,14170,2829,3.4659,5.5568,3174080,15.95
14200.0,14220,2839,3.4753,5.5662,3185280,16.01
14250.0,14270,2849,3.4846,5.5755,3196480,16.07
14300.0,14320,2859,3.4938,5.5847,3207680,16.12
14350.0,14370,2869,3.5032,5.5941,3218880,16.18
14400.0,14420,2879,3.5124,5.6033,3230080,16.24
14450.0,14470,2889,3.5218,5.6126,3241280,16.3
14500.0,14520,2899,3.531,5.6219,3252480,16.36
14550.0,14570,2909,3.5404,5.6313,3263680,16.41
14600.0,14620,2919,3.5499,5.6408,3274880,16.48
14650.0,14670,2929,3.5591,5.6499,3286080,16.54
14700.0,14720,2939,3.5684,5.6593,3297280,16.6
14750.0,14770,2949,3.5777,5.6686,3308480,16.66
14800.0,14820,2959,3.5871,5.678,3319680,16.72
14850.0,14870,2969,3.5963,5.6872,3330880,16.77
14900.0,14920,2979,3.6058,5.6967,3342080,16.83
14950.0,14970,2989,3.615,5.7059,3353280,16.88
15000.0,15020,2999,3.6243,5.7152,3364480,16.94
15050.0,15070,3009,3.6336,5.7245,3375680,17.0
15100.0,15120,3019,3.6429,5.7338,3386880,17.06
15150.0,15170,3029,3.6522,5.743,3398080,17.11
15200.0,15220,3039,3.6614,5.7523,3409280,17.17
15250.0,15270,3049,3.671,5.7619,3420480,17.22
15300.0,15320,3059,3.6803,5.7712,3431680,17.28
15350.0,15370,3069,3.6896,5.7805,3442880,17.34
15400.0,15420,3079,3.699,5.7898,3454080,17.4
15450.0,15470,3089,3.7086,5.7995,3465280,17.46
15500.0,15520,3099,3.7179,5.8088,3476480,17.52
15550.0,15570,3109,3.7272,5.8181,3487680,17.58
15600.0,15620,3119,3.7365,5.8274,3498880,17.63
15650.0,15670,3129,3.7458,5.8367,3510080,17.69
15700.0,15720,3139,3.755,5.846,3521280,17.75
15750.0,15770,3149,3.7644,5.8553,3532480,17.81
15800.0,15820,3159,3.7736,5.8645,3543680,17.88
15850.0,15870,3169,3.7829,5.8739,3554880,17.95
15900.0,15920,3179,3.7921,5.883,3566080,18.02
15950.0,15970,3189,3.8014,5.8923,3577280,18.08
16000.0,16020,3199,3.8105,5.9015,3588480,18.14
16050.0,16070,3209,3.8198,5.9107,3599680,18.21
16100.0,16120,3219,3.8292,5.9202,3610880,18.28
16150.0,16170,3229,3.8383,5.9293,3622080,18.36
16200.0,16220,3239,3.8476,5.9385,3633280,18.45
16250.0,16270,3249,3.8569,5.9478,3644480,18.54
16300.0,16320,3259,3.8662,5.9572,3655680,18.64
16350.0,16370,3269,3.8754,5.9664,3666880,18.72
16400.0,16420,3279,3.8847,5.9756,3678080,18.79
16450.0,16470,3289,3.8939,5.9849,3689280,18.86
16500.0,16520,3299,3.9032,5.9941,3700480,18.94
16550.0,16570,3309,3.9126,6.0035,3711680,19.02
16600.0,16620,3319,3.9217,6.0126,3722880,19.11
16650.0,16670,3329,3.931,6.022,3734080,19.2
16700.0,16720,3339,3.9402,6.0312,3745280,19.29
16750.0,16770,3349,3.9496,6.0405,3756480,19.35
16800.0,16820,3359,3.9588,6.0497,3767680,19.42
16850.0,16870,3369,3.9681,6.059,3778880,19.48
16900.0,16920,3379,3.9773,6.0683,3790080,19.55
16950.0,16970,3389,3.9866,6.0775,3801280,19.61
